CompanyName,JobRole,Experience,Skills,Links
Accenture,GN-Banking-Data AI-Analyst,3.0,ai python project management data analytics oracle data warehousing process improvement business intelligence,https://www.naukri.com/job-listings-gn-banking-data-ai-analyst-accenture-solutions-pvt-ltd-bengaluru-3-to-8-years-060426921245
Virtusa,Business Analyst,7.0,ai confluence data analytics software development administration power bi business analyst analytics,https://www.naukri.com/job-listings-business-analyst-virtusa-consulting-services-pvt-ltd-hyderabad-7-to-12-years-060426920541
Clarivate,Data Governance Analyst,4.0,data governance operations management data analytics data quality management master data management sales salesforce data cleansing,https://www.naukri.com/job-listings-data-governance-analyst-clarivate-analytics-india-private-limited-bengaluru-4-to-9-years-310326922733
Photon,Data Engineer,2.0,hive python data analytics data validation data processing data warehousing power bi data pipeline,https://www.naukri.com/job-listings-data-engineer-photon-infotech-p-ltd-chennai-bengaluru-2-to-7-years-310326502337
Pharmsight,"Lead Data Scientist Patient Analytics, Machine Learning & MLOps",5.0,Computer science Automation Linux GCP Pharma Analytical Machine learning Healthcare,https://www.naukri.com/job-listings-lead-data-scientist-patient-analytics-machine-learning-mlops-pharmsight-research-and-analytics-remote-5-to-7-years-270326502354
Experis,Data Scientist (Machine Learning) Analytics,5.0,Machine Learning Data Scientist Python TensorFlow SQL EDA Tableau R,https://www.naukri.com/job-listings-data-scientist-machine-learning-analytics-experis-bengaluru-5-to-10-years-200326014856
IBM,Data Scientist-Artificial Intelligence,5.0,cloud technologies data scientist algorithms python data analytics data pipelines 70584 ai solutions,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-7-years-300326921322
IBM,Data Scientist-Artificial Intelligence,5.0,data scientist algorithms python data analytics data pipelines ai solutions ai enterprise applications,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-7-years-300326921226
IBM,Data Scientist-Artificial Intelligence,5.0,data scientist algorithms python data analytics data pipelines ai solutions ai enterprise applications,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-7-years-300326921069
IBM,Data Scientist-Artificial Intelligence,5.0,data scientist algorithms python data analytics software development c data pipelines cloud technologies,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-kochi-5-to-10-years-260326927456
Hiringhood,Data Scientist,8.0,Large Language Model Natural Language Processing Machine Learning Python Ml Automation Ops Artificial Intelligence,https://www.naukri.com/job-listings-data-scientist-hiringhood-noida-8-to-10-years-230326017047
IntouchCX,Business Analyst,1.0,google sheets project management macros data analytics data analysis data validation lean six sigma presentation skills,https://www.naukri.com/job-listings-business-analyst-intouchcx-hyderabad-1-to-5-years-300326921410
Sorice Solutions,Data Engineer,3.0,hive cloudera snowflake python scala big data analytics amazon redshift airflow,https://www.naukri.com/job-listings-data-engineer-sorice-solutions-bengaluru-3-to-8-years-260326501230
Perfex Technologies,Data Analyst,2.0,python macros data analysis data management data analytics data mining predictive analytics power bi,https://www.naukri.com/job-listings-data-analyst-perfex-technologies-hyderabad-2-to-7-years-230326501707
Einfochips,Data Engineer,4.0,hive python data analysis data analytics big data analytics data warehousing microsoft azure pyspark,https://www.naukri.com/job-listings-data-engineer-e-infochips-limited-ahmedabad-4-to-6-years-290126511404
Nublogics,Tableau Developer/Data Engineer,2.0,hive cloudera python data analysis scala big data analytics data warehousing pyspark,https://www.naukri.com/job-listings-tableau-developer-data-engineer-nublogics-hyderabad-2-to-5-years-251024501643
Leading Client,Digital Data Engineer,7.0,Digital Data Engineering hive python data analytics data analysis pyspark data warehousing microsoft azure,https://www.naukri.com/job-listings-digital-data-engineer-ibu-consulting-private-limited-bengaluru-7-to-12-years-240326928724
Britannia,Factory Data Analyst,1.0,Data Analytics Data Science Business Intelligence Report Development Power Bi Data Visualization Reporting And Analytics Science,https://www.naukri.com/job-listings-factory-data-analyst-britannia-pune-1-to-5-years-190326022218
Apptad,Data engineer,2.0,hive python data analytics data analysis data warehousing microsoft azure machine learning data engineering,https://www.naukri.com/job-listings-data-engineer-apptad-inc-bokaro-dhanbad-jamshedpur-ranchi-2-to-5-years-180326504418
Digirecruitx,Python Backend Engineer - Maps & Spatial Data,2.0,hive python scala big data analytics amazon redshift airflow pyspark data warehousing,https://www.naukri.com/job-listings-python-backend-engineer-maps-spatial-data-digirecruitx-new-delhi-2-to-6-years-180226504076
Accenture,S&C GN - Data&AI - Resources -  Analyst,4.0,python data analysis machine learning artificial intelligence sql data analytics natural language processing data mining,https://www.naukri.com/job-listings-s-c-gn-data-ai-resources-analyst-accenture-solutions-pvt-ltd-bengaluru-4-to-8-years-170326936602
Nbits,"Data Engineer with Data bricks, python and spark",2.0,hive cloudera azure databricks python scala big data analytics oozie airflow,https://www.naukri.com/job-listings-data-engineer-with-data-bricks-python-and-spark-nbits-pune-2-to-6-years-170225504398
Clifyx Technology,Python/ETL Data Engineer,3.0,hive cloudera azure databricks python scala big data analytics oozie amazon redshift,https://www.naukri.com/job-listings-python-etl-data-engineer-clifyx-technology-bengaluru-3-to-6-years-170225504344
Cascade Revenue Management,Data Engineer,3.0,Data Engineering hive python data analytics data warehousing power bi machine learning business intelligence,https://www.naukri.com/job-listings-data-engineer-cascade-revenue-management-pvt-ltd-ernakulam-3-to-8-years-130326918467
Virtusa,Data Analyst,5.0,data analyst storytelling python data analytics oracle data analysis version control sla,https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-hyderabad-5-to-7-years-100326924036
Barclaycard Payments,Data Engineer,3.0,hive python data analysis data analytics scala data warehousing microsoft azure pyspark,https://www.naukri.com/job-listings-data-engineer-barclaycard-payments-pune-3-to-5-years-090126504063
Fantiger,Data Analyst,1.0,python data analysis data analytics natural language processing data mining product analysis firebase machine learning,https://www.naukri.com/job-listings-data-analyst-fantiger-noida-1-to-3-years-060226502043
Diverse Lynx,Data Engineer,5.0,hive python data analysis data analytics scala data warehousing microsoft azure pyspark,https://www.naukri.com/job-listings-data-engineer-diverse-lynx-pune-5-to-10-years-010925502938
Busigence Technologies,Data Engineer - Python,0.0,deep learning Data analysis data science Machine learning HTTP Natural language processing Data analytics Business intelligence,https://www.naukri.com/job-listings-data-engineer-python-busigence-technologies-remote-0-to-3-years-291123502525
Nagarro,"Staff Engineer, Machine Learning",1.0,technical writing python data analytics data analysis natural language processing neural networks engineering machine learning,https://www.naukri.com/job-listings-staff-engineer-machine-learning-nagarro-software-pvt-ltd-gurugram-1-to-5-years-291025502362
Seven N Consulting,Data Engineer,1.0,hive snowflake python data analytics data analysis microsoft azure data warehousing power bi,https://www.naukri.com/job-listings-data-engineer-seven-n-consulting-pvt-ltd-bengaluru-1-to-2-years-290925501317
Yocreativ,Data Analyst,1.0,database maintenance python data analytics data analysis data mining predictive analytics business analysis power bi,https://www.naukri.com/job-listings-data-analyst-yocreativ-gurugram-1-to-3-years-290725501993
Convegenius Edu,Data Analyst,4.0,python macros data analysis data management data analytics data mining predictive analytics power bi,https://www.naukri.com/job-listings-data-analyst-convegenius-edu-solutions-pvt-ltd-pune-4-to-6-years-290126511725
EXL,Account Manager-Data Science-Gen AI Engineer,8.0,tableau data science Architecture Project management Data analytics Management SQL Python,https://www.naukri.com/job-listings-account-manager-data-science-gen-ai-engineer-exl-services-com-i-pvt-ltd-noida-8-to-10-years-271125505674
Socialion Media,Data Analyst,1.0,database maintenance python data analysis data analytics data mining predictive analytics business analysis power bi,https://www.naukri.com/job-listings-data-analyst-socialion-media-navi-mumbai-1-to-6-years-250625502174
EXL,Business Analyst,5.0,Excel Quality check data science Analytical Machine learning model development Data analytics Analytics,https://www.naukri.com/job-listings-business-analyst-exl-services-com-i-pvt-ltd-gurugram-5-to-8-years-231225502205
Talent Cafe Solutions,Data Science Engineer,1.0,hive python data analysis data analytics natural language processing big data analytics pyspark data pipeline,https://www.naukri.com/job-listings-data-science-engineer-talent-cafe-solutions-hyderabad-1-to-4-years-210226501734
A D Patel Institute of Technology (ADIT),Data Analyst I,2.0,python macros data analysis data management data analytics data validation data mining power bi,https://www.naukri.com/job-listings-data-analyst-i-adit-ahmedabad-2-to-8-years-190825501267
Clustor Computing,Data Analyst,0.0,Analytical skills Data analysis Manager Quality Assurance data science power bi Data analytics data visualization digital transformation,https://www.naukri.com/job-listings-data-analyst-cluster-computing-nagpur-0-to-2-years-190326505544
Hitachi Digital Services,Data Engineer (GDC),3.0,hive python data analysis data analytics scala data warehousing microsoft azure pyspark,https://www.naukri.com/job-listings-data-engineer-gdc-hitachi-digital-services-hyderabad-3-to-6-years-161225500105
Busigence Technologies,Fresher - Data Science Engineer,0.0,Automation data science Machine learning HTML HTTP Natural language processing Data analytics Business intelligence,https://www.naukri.com/job-listings-fresher-data-science-engineer-busigence-technologies-remote-0-to-2-years-141221500529
Numerator,ML Engineer,2.0,algorithms python c++ c data analytics data analysis natural language processing data mining,https://www.naukri.com/job-listings-ml-engineer-numerator-remote-2-to-8-years-120925504680
Sisl Infotech,Data Science/Analytics Engineer,2.0,hive algorithms python natural language processing machine learning nosql sql software design and development,https://www.naukri.com/job-listings-data-science-analytics-engineer-sisl-infotech-pvt-ltd-new-delhi-2-to-6-years-061125506393
Sisl Infotech,Data Science/Analytics Engineer,4.0,hive algorithms python natural language processing machine learning nosql sql software design and development,https://www.naukri.com/job-listings-data-science-analytics-engineer-sisl-infotech-pvt-ltd-new-delhi-4-to-8-years-061125506391
Grintex,Data Scientist/Machine Learning(AI) Engineer,4.0,Computer science Usage Image processing Opencv Machine learning Data analytics Mathematics Statistics,https://www.naukri.com/job-listings-data-scientist-machine-learning-ai-engineer-grintex-india-gurugram-4-to-5-years-291025503458
Airtel,Data Scientist -Telecom (RAN+ AI ),6.0,Agentice AI Radio Data Science SON Python CrewAI Ran Optimization Artificial Intelligence,https://www.naukri.com/job-listings-data-scientist-telecom-ran-ai-airtel-gurugram-6-to-11-years-191125012756
ECL Finance,Data Scientist,2.0,Data Visualization Tableau Python SQL Power Bi Data Scientist Data Analytics Analytics,https://www.naukri.com/job-listings-data-scientist-ecl-finance-mumbai-all-areas-2-to-4-years-130326021329
Episeio Business Solutions,Data Scientist ( 1- 10 years),1.0,Pyspark Power Bi Power Bi Reports Dax Python Predictive Modeling Python Data Analytics Tableau,https://www.naukri.com/job-listings-data-scientist-1-10-years-episeio-business-solutions-bengaluru-1-to-6-years-110326028691
Havells,Data Scientist,8.0,Predictive Modeling Statistical Modeling Machine Learning Python Artificial Intelligence Natural Language Processing Data Analytics Statistics,https://www.naukri.com/job-listings-data-scientist-havells-noida-8-to-13-years-100326014356
ION,Data Scientist - PhD,0.0,Python SQL Predictive Modeling Artificial Intelligence Data Analytics Machine Learning Predictive Data,https://www.naukri.com/job-listings-data-scientist-phd-ion-noida-0-to-2-years-090326006520
Nisum,Data Scientist,5.0,Artificial Intelligence Machine Learning Data Science Natural Language Processing Deep Learning Python Processing Machine,https://www.naukri.com/job-listings-data-scientist-nisum-hyderabad-5-to-7-years-070426014640
